product1,product2
5649565,5649646
5649585,5649910
5649585,5649921
5649607,5649931
5649607,5649929
5649607,5649659
5649630,5650527
5649630,5650548
5649630,5650492
5649646,5649565
5649648,5650746
5649659,5649607
5649659,5649929
5649659,5649931
5649662,5649963
5649662,5650449
5649677,5649900
5649677,5649925
5649677,5649878
5649677,5649697
5649677,5649836
5649677,5649845
5649677,5649855
5649679,5650462
5649679,5650514
5649697,5649845
5649697,5649855
5649697,5649677
5649697,5649878
5649697,5649836
5649697,5649900
5649697,5649925
5649701,5650656
5649701,5650743
5649711,5649919
5649711,5649890
5649711,5649838
5649815,5650544
5649836,5649845
5649836,5649855
5649836,5649697
5649836,5649900
5649836,5649925
5649836,5649677
5649836,5649878
5649838,5649890
5649838,5649711
5649838,5649919
5649845,5649925
5649845,5649836
5649845,5649677
5649845,5649697
5649845,5649900
5649845,5649855
5649845,5649878
5649849,5649859
5649849,5649894
5649849,5649870
5649855,5649836
5649855,5649878
5649855,5649697
5649855,5649925
5649855,5649845
5649855,5649677
5649855,5649900
5649859,5649849
5649859,5649870
5649859,5649894
5649870,5649849
5649870,5649859
5649870,5649894
5649878,5649697
5649878,5649925
5649878,5649845
5649878,5649677
5649878,5649900
5649878,5649836
5649878,5649855
5649890,5649838
5649890,5649711
5649890,5649919
5649894,5649849
5649894,5649870
5649894,5649859
5649900,5649855
5649900,5649677
5649900,5649697
5649900,5649925
5649900,5649836
5649900,5649845
5649900,5649878
5649910,5649921
5649910,5649585
5649919,5649838
5649919,5649890
5649919,5649711
5649921,5649910
5649921,5649585
5649925,5649878
5649925,5649900
5649925,5649836
5649925,5649845
5649925,5649855
5649925,5649677
5649925,5649697
5649929,5649659
5649929,5649931
5649929,5649607
5649931,5649929
5649931,5649607
5649931,5649659
5649950,5649965
5649963,5650449
5649963,5649662
5649965,5649950
5650048,5650455
5650048,5650475
5650408,5650578
5650445,5650672
5650449,5649963
5650449,5649662
5650455,5650048
5650455,5650475
5650462,5649679
5650462,5650514
5650475,5650048
5650475,5650455
5650486,5650692
5650492,5650548
5650492,5649630
5650492,5650527
5650496,5650672
5650496,5650500
5650496,5650535
5650500,5650672
5650500,5650496
5650500,5650535
5650514,5649679
5650514,5650462
5650527,5650548
5650527,5649630
5650527,5650492
5650535,5650672
5650535,5650496
5650535,5650500
5650537,5650592
5650542,5650752
5650544,5649815
5650548,5649630
5650548,5650492
5650548,5650527
5650578,5650408
5650592,5650537
5650640,5650677
5650640,5650704
5650640,5650772
5650640,5650777
5650640,5650783
5650640,5650785
5650640,5650760
5650656,5649701
5650656,5650743
5650672,5650535
5650672,5650445
5650672,5650496
5650672,5650500
5650677,5650704
5650677,5650760
5650677,5650777
5650677,5650785
5650677,5650772
5650677,5650783
5650677,5650640
5650692,5650486
5650704,5650760
5650704,5650783
5650704,5650785
5650704,5650640
5650704,5650772
5650704,5650777
5650704,5650677
5650743,5649701
5650743,5650656
5650746,5649648
5650752,5650542
5650760,5650640
5650760,5650772
5650760,5650785
5650760,5650677
5650760,5650704
5650760,5650777
5650760,5650783
5650772,5650677
5650772,5650704
5650772,5650760
5650772,5650783
5650772,5650785
5650772,5650640
5650772,5650777
5650777,5650640
5650777,5650677
5650777,5650772
5650777,5650785
5650777,5650704
5650777,5650760
5650777,5650783
5650783,5650777
5650783,5650785
5650783,5650640
5650783,5650677
5650783,5650704
5650783,5650760
5650783,5650772
5650785,5650704
5650785,5650760
5650785,5650772
5650785,5650777
5650785,5650783
5650785,5650677
5650785,5650640